1638340539.557207 client started (22905): version 3.2a, socket /private/tmp/tmux-501/default, protocol 8
1638340539.557270 on Darwin 21.1.0 Darwin Kernel Version 21.1.0: Wed Oct 13 17:33:01 PDT 2021; root:xnu-8019.41.5~1/RELEASE_ARM64_T6000
1638340539.557319 using libevent 2.1.12-stable (select); utf8proc 2.6.1; ncurses 6.2
1638340539.561491 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.561497 sending message 112 to peer 0x148048000 (12 bytes)
1638340539.561502 sending message 112 to peer 0x148048000 (12 bytes)
1638340539.561507 sending message 112 to peer 0x148048000 (12 bytes)
1638340539.561512 sending message 112 to peer 0x148048000 (12 bytes)
1638340539.561517 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.561522 sending message 112 to peer 0x148048000 (8 bytes)
1638340539.561527 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.561532 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.561539 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.561546 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.561553 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.561561 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.561568 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.561577 sending message 112 to peer 0x148048000 (12 bytes)
1638340539.561584 sending message 112 to peer 0x148048000 (12 bytes)
1638340539.561592 sending message 112 to peer 0x148048000 (12 bytes)
1638340539.561598 sending message 112 to peer 0x148048000 (8 bytes)
1638340539.561605 sending message 112 to peer 0x148048000 (12 bytes)
1638340539.561614 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.561635 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.561640 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.561646 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.561651 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.561656 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.561661 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.561666 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.561671 sending message 112 to peer 0x148048000 (12 bytes)
1638340539.561678 sending message 112 to peer 0x148048000 (10 bytes)
1638340539.561683 sending message 112 to peer 0x148048000 (12 bytes)
1638340539.561688 sending message 112 to peer 0x148048000 (12 bytes)
1638340539.561693 sending message 112 to peer 0x148048000 (12 bytes)
1638340539.561698 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.561704 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.561708 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.561714 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.561719 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.561724 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.561731 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.561739 sending message 112 to peer 0x148048000 (10 bytes)
1638340539.561746 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.561752 sending message 112 to peer 0x148048000 (12 bytes)
1638340539.561759 sending message 112 to peer 0x148048000 (12 bytes)
1638340539.561766 sending message 112 to peer 0x148048000 (12 bytes)
1638340539.561774 sending message 112 to peer 0x148048000 (10 bytes)
1638340539.561783 sending message 112 to peer 0x148048000 (10 bytes)
1638340539.561788 sending message 112 to peer 0x148048000 (10 bytes)
1638340539.561794 sending message 112 to peer 0x148048000 (12 bytes)
1638340539.561800 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.561807 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.561814 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.561820 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.561827 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.561834 sending message 112 to peer 0x148048000 (10 bytes)
1638340539.561840 sending message 112 to peer 0x148048000 (11 bytes)
1638340539.561846 sending message 112 to peer 0x148048000 (12 bytes)
1638340539.561854 sending message 112 to peer 0x148048000 (12 bytes)
1638340539.561861 sending message 112 to peer 0x148048000 (12 bytes)
1638340539.561868 sending message 112 to peer 0x148048000 (12 bytes)
1638340539.561873 sending message 112 to peer 0x148048000 (12 bytes)
1638340539.561878 sending message 112 to peer 0x148048000 (11 bytes)
1638340539.561885 sending message 112 to peer 0x148048000 (12 bytes)
1638340539.561892 sending message 112 to peer 0x148048000 (12 bytes)
1638340539.561898 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.561905 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.561911 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.561918 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.561926 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.561933 sending message 112 to peer 0x148048000 (10 bytes)
1638340539.561940 sending message 112 to peer 0x148048000 (9 bytes)
1638340539.561946 sending message 112 to peer 0x148048000 (12 bytes)
1638340539.561955 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.561963 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.561971 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.561978 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.561986 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.561993 sending message 112 to peer 0x148048000 (9 bytes)
1638340539.562000 sending message 112 to peer 0x148048000 (12 bytes)
1638340539.562007 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.562014 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.562035 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.562041 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.562047 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.562054 sending message 112 to peer 0x148048000 (11 bytes)
1638340539.562060 sending message 112 to peer 0x148048000 (12 bytes)
1638340539.562069 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.562076 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.562084 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.562092 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.562099 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.562106 sending message 112 to peer 0x148048000 (11 bytes)
1638340539.562112 sending message 112 to peer 0x148048000 (12 bytes)
1638340539.562121 sending message 112 to peer 0x148048000 (12 bytes)
1638340539.562130 sending message 112 to peer 0x148048000 (12 bytes)
1638340539.562139 sending message 112 to peer 0x148048000 (12 bytes)
1638340539.562147 sending message 112 to peer 0x148048000 (12 bytes)
1638340539.562157 sending message 112 to peer 0x148048000 (21 bytes)
1638340539.562166 sending message 112 to peer 0x148048000 (12 bytes)
1638340539.562176 sending message 112 to peer 0x148048000 (9 bytes)
1638340539.562184 sending message 112 to peer 0x148048000 (6 bytes)
1638340539.562193 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.562201 sending message 112 to peer 0x148048000 (10 bytes)
1638340539.562209 sending message 112 to peer 0x148048000 (24 bytes)
1638340539.562215 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.562220 sending message 112 to peer 0x148048000 (9 bytes)
1638340539.562227 sending message 112 to peer 0x148048000 (70 bytes)
1638340539.562237 sending message 112 to peer 0x148048000 (69 bytes)
1638340539.562246 sending message 112 to peer 0x148048000 (12 bytes)
1638340539.562255 sending message 112 to peer 0x148048000 (10 bytes)
1638340539.562264 sending message 112 to peer 0x148048000 (10 bytes)
1638340539.562270 sending message 112 to peer 0x148048000 (24 bytes)
1638340539.562276 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.562283 sending message 112 to peer 0x148048000 (10 bytes)
1638340539.562290 sending message 112 to peer 0x148048000 (10 bytes)
1638340539.562297 sending message 112 to peer 0x148048000 (10 bytes)
1638340539.562305 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.562313 sending message 112 to peer 0x148048000 (15 bytes)
1638340539.562320 sending message 112 to peer 0x148048000 (5 bytes)
1638340539.562353 sending message 104 to peer 0x148048000 (0 bytes)
1638340539.562362 sending message 110 to peer 0x148048000 (0 bytes)
1638340539.562369 sending message 107 to peer 0x148048000 (4 bytes)
1638340539.562375 sending message 105 to peer 0x148048000 (15 bytes)
1638340539.562383 sending message 105 to peer 0x148048000 (42 bytes)
1638340539.562388 sending message 105 to peer 0x148048000 (22 bytes)
1638340539.562396 sending message 105 to peer 0x148048000 (18 bytes)
1638340539.562403 sending message 105 to peer 0x148048000 (734 bytes)
1638340539.562410 sending message 105 to peer 0x148048000 (66 bytes)
1638340539.562417 sending message 105 to peer 0x148048000 (15 bytes)
1638340539.562424 sending message 105 to peer 0x148048000 (22 bytes)
1638340539.562430 sending message 105 to peer 0x148048000 (38 bytes)
1638340539.562437 sending message 105 to peer 0x148048000 (57 bytes)
1638340539.562444 sending message 105 to peer 0x148048000 (19 bytes)
1638340539.562452 sending message 105 to peer 0x148048000 (14 bytes)
1638340539.562458 sending message 105 to peer 0x148048000 (17 bytes)
1638340539.562465 sending message 105 to peer 0x148048000 (18 bytes)
1638340539.562472 sending message 105 to peer 0x148048000 (13 bytes)
1638340539.562479 sending message 105 to peer 0x148048000 (20 bytes)
1638340539.562485 sending message 105 to peer 0x148048000 (20 bytes)
1638340539.562492 sending message 105 to peer 0x148048000 (16 bytes)
1638340539.562516 sending message 105 to peer 0x148048000 (34 bytes)
1638340539.562525 sending message 105 to peer 0x148048000 (67 bytes)
1638340539.562533 sending message 105 to peer 0x148048000 (8 bytes)
1638340539.562539 sending message 105 to peer 0x148048000 (24 bytes)
1638340539.562544 sending message 105 to peer 0x148048000 (30 bytes)
1638340539.562552 sending message 105 to peer 0x148048000 (37 bytes)
1638340539.562558 sending message 105 to peer 0x148048000 (34 bytes)
1638340539.562565 sending message 105 to peer 0x148048000 (39 bytes)
1638340539.562572 sending message 105 to peer 0x148048000 (34 bytes)
1638340539.562578 sending message 105 to peer 0x148048000 (35 bytes)
1638340539.562585 sending message 105 to peer 0x148048000 (32 bytes)
1638340539.562595 sending message 105 to peer 0x148048000 (11 bytes)
1638340539.562601 sending message 105 to peer 0x148048000 (8 bytes)
1638340539.562608 sending message 105 to peer 0x148048000 (32 bytes)
1638340539.562615 sending message 105 to peer 0x148048000 (10 bytes)
1638340539.562623 sending message 105 to peer 0x148048000 (30 bytes)
1638340539.562630 sending message 105 to peer 0x148048000 (16 bytes)
1638340539.562638 sending message 105 to peer 0x148048000 (16 bytes)
1638340539.562645 sending message 105 to peer 0x148048000 (12 bytes)
1638340539.562653 sending message 105 to peer 0x148048000 (22 bytes)
1638340539.562661 sending message 105 to peer 0x148048000 (25 bytes)
1638340539.562668 sending message 106 to peer 0x148048000 (0 bytes)
1638340539.562684 sending message 200 to peer 0x148048000 (4 bytes)
1638340539.562691 client loop enter
1638340539.562771 client_signal: Child exited: 20
1638340539.618628 peer 0x148048000 message 207
1638340539.618640 sending message 208 to peer 0x148048000 (0 bytes)
1638340549.368635 peer 0x148048000 message 203
1638340549.368682 sending message 205 to peer 0x148048000 (0 bytes)
1638340549.369378 peer 0x148048000 message 204
1638340549.369416 client loop exit
